series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T38.A.CF.,T38,Conversion factors,384,C,Cote d'Ivoire,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.01426997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,388,C,Jamaica,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,2.01499938,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,388,C,Jamaica,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,2.01499938,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,400,C,Jordan,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,400,C,Jordan,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,430,C,Liberia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,430,C,Liberia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,434,C,Libya,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,434,C,Libya,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,450,C,Madagascar,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.01426997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,450,C,Madagascar,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.01426997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,470,C,Malta,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,470,C,Malta,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,474,C,Martinique,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,474,C,Martinique,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,480,C,Mauritius,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.30219984,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,480,C,Mauritius,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.30219984,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,484,C,Mexico,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.20580989,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,484,C,Mexico,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.20580989,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,504,C,Morocco,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,504,C,Morocco,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,508,C,Mozambique,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.03999999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,508,C,Mozambique,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.03999999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,520,C,Nauru,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,520,C,Nauru,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,528,C,Netherlands,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.37699991,,CF,Conversion Factor,A,Actual
